rank,error
1, 1.990515953012072 
2, 1.9755556597097943
3, 1.9693024157550167
4, 1.9280882937755441
5, 1.9281137573145342
6, 1.92827242347399
7, 1.9562326846222613
8, 1.9605882045755318
9, 1.963399015608893
10,1.9633744509375015
-1, 1.9635729730596407
